Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Product Description,Manufacturer,Description
https://www.amazon.in/NOVICZ-HK001-TRAWOC-SKYBLUE-Blue-Rucksack/dp/B079N6KHPJ,BEAUTY GIRLS BY HOTSHOT1566|School Bag|Tuition Bag|College Backpack|ForGirls&Women|17Inch|32L Waterproof School Bag,₹740,4.1 out of 5 stars,4,,,,
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW,F Gear Burner P8 19 Ltrs White Casual Laptop Backpack,₹854,4.3 out of 5 stars,"4,281",,,,
https://www.amazon.in/BEAUTY-GIRLS-HOTSHOT1566-Backpack-Waterproof/dp/B0BG36CZD9,"Ant Esports Knight Cobra 23, Large 38L Stylish unisex backpack with USB Charging Port, Earphone/Headphone Port, with rain protection cover and reflective strip, fits upto 17"" Laptop-Dynamic Blue",₹584,3.9 out of 5 stars,"3,932",,,,
https://www.amazon.in/F-Gear-Burner-Casual-Laptop-Backpack/dp/B016115VXW,Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black,"₹1,689",4.1 out of 5 stars,"3,020",,,,
https://www.amazon.in/Ant-Esports-Knight-protection-Laptop-Dynamic/dp/B0BZ4WCJHR,Safari Arc Polyester 55 Cms 2 Wheel Travel Duffel Bag (Red),"₹1,309",3.8 out of 5 stars,195,,,,
https://www.amazon.in/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,"Amazon Basics Opel 15.6-Inch Laptop Backpack for Office or College (20 L, Black)",₹639,4.2 out of 5 stars,"4,015",,,,
https://www.amazon.in/Safari-Duffle-Travel-Luggage-Trolley/dp/B097JJXL9K,BEST DEAL 25 ltrs (5 Cms) backpack(AASHISHIMPEXGREY_grey),₹334,3.6 out of 5 stars,6,,,,
https://www.amazon.in/Amazon-Basics-15-6-Inch-Backpack-College/dp/B0C8NX7HTX,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),₹870,4.3 out of 5 stars,667,,,,
https://www.amazon.in/BEST-DEAL-Womens-Backpack-College/dp/B08FYRN2SL,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,₹979,4.0 out of 5 stars,399,,,,
https://www.amazon.in/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour","₹1,004",3.0 out of 5 stars,146,,,,
https://www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L,Gear LOGI-Q 27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Teal-Yellow),₹661.75,3.0 out of 5 stars,894,,,,
https://www.amazon.in/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,BEAUTY GIRLS BY HOTSHOT1566|School Bag|Tuition Bag|College Backpack|ForGirls&Women|17Inch|32L Waterproof School Bag,₹740,4.1 out of 5 stars,377,,,,
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=a1MLL&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=D3Z1BV1M9HACJFE8RZJ4&pd_rd_wg=227VA&pd_rd_r=13bad4ab-3ae9-43dc-a860-1790b4bb195a&qid=1692636054,Trunkit Waterproof Travelling Trekking Hiking Camping Bag Backpack Series 55 litres Mt Calling Rucksack with Rain Cover,₹559,4.0 out of 5 stars,578,,,,
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black,"₹1,689",4.1 out of 5 stars,4,,,,
https://www.amazon.in/Gear-LOGI-Q-Resistant-Backpack-Teal-Yellow/dp/B0BTJ3QQJM,Safari Arc Polyester 55 Cms 2 Wheel Travel Duffel Bag (Red),"₹1,309",3.8 out of 5 stars,bags for girls,,,,
https://www.amazon.in/BEAUTY-GIRLS-HOTSHOT1566-Backpack-Waterproof/dp/B0BG36CZD9,Wildcraft Hopper 1.0 Laptop Backpack 24L (Blue),"₹1,360",4.4 out of 5 stars,or,,,,
https://www.amazon.in/Trunkit-Waterproof-Travelling-Trekking-Backpack/dp/B08GZB73RZ,Skybags Cardiff Polyester 63.5 cms Blue Travel Duffle,"₹2,009",4.2 out of 5 stars,Price and other details may vary based on product size and colour.,,,,
https://www.amazon.in/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,LAPTOP BAG 20 INCHES | LAPTOP BACKPACK | MULTI-COLOURED LAPTOP BACKPACK,₹315,3.6 out of 5 stars,5,,,,
https://www.amazon.in/Safari-Duffle-Travel-Luggage-Trolley/dp/B097JJXL9K,BEST DEAL 25 ltrs (5 Cms) backpack(AASHISHIMPEXGREY_grey),₹334,4.2 out of 5 stars,195,,,,
https://www.amazon.in/Wildcraft-Hopper-Laptop-Backpack-Blue/dp/B07YNL6H8H,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"₹2,255",3.0 out of 5 stars,"1,035",,,,
https://www.amazon.in/Skybags-Cardiff-Polyester-Travel-DFTCAR62EBLU/dp/B073JZ9QGR,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour","₹1,004",3.6 out of 5 stars,667,,,,
https://www.amazon.in/LAPTOP-INCHES-BACKPACK-MULTI-COLOURED-BLACK/dp/B0CCMTX7JG,"Glowic Canvas Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50)",₹519,4.1 out of 5 stars,399,,,,
https://www.amazon.in/BEST-DEAL-Womens-Backpack-College/dp/B08FYRN2SL,F Gear Repel 30 ltrs Rain and Dust Cover for Laptop Bags and Backpacks,₹250,3.7 out of 5 stars,10,,,,
